count,type,name,buy_cost,play_cost,ip_value,on_card_description,art_description
2,Action,Market Refresh,3,1,N/A,"Vote to replace one Repository stack with a new card from the Archive.","A large, circular arrow icon (like a browser refresh) superimposed over a 3x3 grid of cards."
2,Action,Synergy Draft,4,2,N/A,"Choose a Modifier on an opponent's Grid. One of your Components gains its ability this turn.","A glowing line of data being siphoned from one blueprint (in the background) to another (in the foreground)."
2,Action,Feedback Loop,3,2,N/A,"Each other player puts a Scrap card on top of their deck.","A circular arrow diagram that starts clean but ends in a chaotic, glitchy scribble."
2,Action,Supply Chain Disruption,3,1,N/A,"Place a Disruption token on a Repository stack. The next player who Buys from it pays +2 Flux.","A clean supply line diagram that is suddenly interrupted by a big, red, glitchy stop sign icon."
2,Action,Foresight,3,1,N/A,"Look at the top 3 cards of your deck. Put one in your hand, one on top, one on bottom.","A large, stylized eye looking at three stacked, translucent cards, seeing their contents."
2,Action,Salvage,2,1,N/A,"Put a Component from your discard pile into your hand.","A robotic claw carefully pulling a pristine component card from a pile of scrap."
1,Action,Dismantle,5,3,N/A,"Destroy a Modifier on an opponent's Grid. (Place it in their discard pile).","A robotic claw carefully plucking a glowing gear off a larger machine, causing the machine to flicker."
1,Action,Targeted Purge,3,2,N/A,"Look at an opponent's hand. They discard one card of your choice.","A player's hand of cards shown as translucent screens, with one card being highlighted by a red targeting reticle."
1,Action,Hostile Takeover,6,4,N/A,"Take a card from a Repository stack and put it into your discard pile.","A hand snatching a glowing blueprint off a display rack, leaving a glitchy, empty space behind."
1,Action,Erase Schematic,4,2,N/A,"Trash a card from an opponent's discard pile.","A blueprint being fed into a digital shredder, with the bottom half dissolving into static."
1,Action,Reverse Engineer,7,5,N/A,"Destroy a Component on an opponent's Grid. Implement a Standard Component for free.","A diagram showing a component being deconstructed into particles and then re-formed as a generic grey cog."
1,Action,Component Seizure,8,6,N/A,"Move a Component from an opponent's Grid to your Grid.","A robotic arm lifting a glowing component from an opponent's grid and slotting it into the player's own."
1,Action,Cascade Failure,6,4,N/A,"Destroy a Component and all other Components that are only connected to it in a single chain.","A single component shattering, sending a visible, crackling chain reaction down a line of connected parts."
1,Action,Emergency Shutdown,4,2,N/A,"Choose an opponent. They cannot use Modifier abilities on their next turn.","A large, red power-down symbol projected over a schematic of a complex machine."
1,Action,Grid Optimization,2,1,N/A,"You may rearrange your implemented Components. (Must remain a single legal structure).","A hex grid with glowing arrows showing components swapping places."
1,Action,Flux Overload,3,0,N/A,"Gain 7 Flux. You cannot Buy cards this turn.","A massive, uncontrolled arc of white energy that fills the entire card frame."
1,Action,Null Field,5,3,N/A,"Cancel an Action or Anomaly card as it is played. Trash this card and the cancelled card.","An image of a card shattering into a thousand pieces of glass."
1,Anomaly,Cost Fluctuation,4,2,N/A,"Global: Components cost 1 less to Implement, Modifiers cost 1 more.","A large equals sign (=) with a wavy, fluctuating line passing through it."
1,Anomaly,Universal Connector,5,3,N/A,"Global: All Components can connect to anything.","A central node with glowing lines reaching out to a circle, square, and triangle, all connected."
1,Anomaly,Creative Overflow,4,2,N/A,"Global: Architects draw 6 cards during their Cleanup phase instead of 5.","A stylized hand trying to hold a fan of six cards, with glowing energy spilling from the edges."
1,Anomaly,Sovereignty,5,3,N/A,"Global: The Architect who played this gains +1 Flux at the start of their turn.","A single, ornate, glowing golden crown floating in the center of the card, casting a long shadow."
1,Anomaly,Paradigm Shift,5,3,N/A,"Global: Until your next turn, only Components of the color you have the most of are worth IP.","A spectrum of colors being squeezed through a prism, with only one color emerging brightly on the other side."
1,Anomaly,Economic Boom,4,2,N/A,"Global: All Architects gain +1 Flux at the start of their turn.","A simple, glowing line graph trending sharply upwards."
1,Anomaly,Chain Reaction,5,3,N/A,"Global: Whenever a Component is destroyed, its owner must destroy an adjacent Component.","A line of glowing dominoes, with the first one tipping over to start a chain reaction."
1,Anomaly,Singularity,4,2,N/A,"Global: No Architect can have more than 7 implemented Components.","A hex grid being warped and pulled into a central, dark point, like a black hole."
